"unique_id","prim_source","borehole","sample_name","test_name","top","bottom","grain_size_curve","mass_fraction_of_gravel_in_soil","mass_fraction_of_sand_in_soil","mass_fraction_of_silt_in_soil","mass_fraction_of_clay_in_soil","mass_fraction_of_fines_in_soil","loss_on_ignition","LL","PL","IP","D10","D50","D60","soil_description","ground_ice_description","soil_group","USCS_symbol_rep_or_calc","sample_mass_init","mass_of_dry_sample","gravimetric_wc_init","gravimetric_wc_fin","sample_volume_init","solid_grain_density_rpt_or_asm","initial_degree_of_saturation_rep","sample_height_ave_or_typ","sample_diameter_ave_or_typ","frozen_bulk_density_rep","frozen_dry_density_calc","final_bulk_density_rep","reported_test_result_type","volumetric_wc_calc","frozen_void_ratio_calc","loading_steps_count","sigma_v_min","sigma_v_max","num_of_swelling_loading_step","swelling_flag","A0","a0","R_sq","Cc","sigma_v_th","e_th","R_sq_semilog","ice_level","phase_change_strain","excess_water_strain","soil_compression_strain_at_100_kpa","total_strain_at_100_kpa","data_quality_flag","note"
"CEN-031","CEN","INU_2017_F1","INU_2017_F1_126-141","INU_2017_F1_126-141",1.26,1.41,TRUE,1.73,59.11,NA,NA,39.2,NA,"20.232",NA,NA,0.015,0.104,0.134,NA,NA,"Coarse-grained","SM",1846.84,1285.3,43.69,NA,1158.1,2.65,NA,142.5,100.6,1594.7,1109.8,NA,"delta_h-sigma_v",48.488024914747,1.38777513011852,3,25,100,0,FALSE,22.3,0.0297142857142856,0.862244897959185,-0.0963359147517343,1,0.977671829503468,0.968894009216588,"Ice-rich",4.8,12.37,8.07,25.24,"2",NA
"CEN-032","CEN","INU_2017_F1","INU_2017_F1_153-168","INU_2017_F1_153-168",1.53,1.68,TRUE,0.71,76.7,NA,NA,22.6,NA,"22.182",NA,NA,0.03,0.154,0.177,NA,NA,"Coarse-grained","SM",1892.74,1408.54,34.38,NA,1119.57,2.65,NA,145.89,98.39,1690.6,1258.1,NA,"delta_h-sigma_v",43.2525881827653,1.10639417958121,3,25,100,0,FALSE,20.2,0.0268571428571428,0.953388001726371,-0.0730824180875222,1,0.771831502841711,0.999311768754301,"Ice-rich",4.34,11.54,6.94,22.82,"1","Variations in reported water content across different sections of the report."
"CEN-033","CEN","INU_2017_F2","INU_2017_F2_137-152","INU_2017_F2_137-152",1.37,1.52,TRUE,0.83,29.95,NA,NA,69.1,NA,"22.209","13.8","8.409",NA,NA,NA,NA,NA,"Fine-grained","ML",1952.11,1470.55,32.75,NA,1154.63,2.65,NA,146.99,99.95,1690.7,1273.6,NA,"delta_h-sigma_v",41.7103013182674,1.0807210031348,3,25,100,0,FALSE,15.25,0.0437142857142857,0.998847926267281,-0.114606519273614,1,0.905379705213895,0.97534826550123,"Ice-rich",4.29,4.14,11.02,19.45,"1","Variations in reported water content across different sections of the report."
"CEN-034","CEN","INU_2017_F2","INU_2017_F2_163-177","INU_2017_F2_163-177",1.63,1.77,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829.21,1320.93,38.48,NA,1106.1,2.65,NA,143.05,99.02,1653.7,1194.2,NA,"delta_h-sigma_v",45.9520335066436,1.21909657132491,3,25,100,0,FALSE,16.7,0.0662857142857143,0.982261478940069,-0.187688937361136,1,1.08121120805561,0.996851254293744,"Ice-rich",4.54,1.68,16.92,23.14,"1","Soil type unclear"
"CEN-035","CEN","INU_2017_F2","INU_2017_F2_196-210","INU_2017_F2_196-210",1.96,2.1,TRUE,0.15,23.7,NA,NA,76.2,NA,"26.054","14.583","11.471",NA,NA,NA,NA,NA,"Fine-grained","ML",1790.14,1368.7,30.79,NA,1015.58,2.65,NA,139.89,96.48,1762.7,1347.7,NA,"delta_h-sigma_v",41.4966992889365,0.966264821013218,3,25,100,0,FALSE,12.7,0.093142857142857,0.948181720852218,-0.237517858784447,3.41602903811148,0.88648148716809,0.998031496062992,"Ice-poor",4.06,0,17.71,21.77,"1","Variations in reported water content across different sections of the report."
"CEN-036","CEN","INU_2017_F2","INU_2017_F2_258-272","INU_2017_F2_258-272",2.58,2.72,TRUE,0.13,25.15,NA,NA,74.7,NA,"21.638","14.583","7.055",NA,NA,NA,NA,NA,"Fine-grained","ML",1726.25,1286.24,34.21,NA,1043.28,2.65,NA,134.2,98.09,1654.6,1232.9,NA,"delta_h-sigma_v",42.1755949631175,1.14950139006406,3,25,100,0,FALSE,16.6,0.0514285714285714,0.964285714285715,-0.142842908080157,1,0.970685816160314,1,"Ice-rich",4.42,3.9,13.29,21.61,"1","Variations in reported water content across different sections of the report."
"CEN-037","CEN","IVU_2014_F1","IVU_2014_F1_65-79","IVU_2014_F1_65-79",0.65,0.79,FALSE,18.83,65.96,NA,NA,15.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coarse-grained","SM or SC",1456.34,914.16,59.31,NA,1179.19,2.65,NA,136.93,98.54,1235,775.2,NA,"delta_h-sigma_v",45.9781871822233,2.41839271255061,3,25,100,0,FALSE,50.25,0.0408571428571429,0.949702767973249,-0.181045081171362,1,0.926923495676057,0.998627143337442,"Ice-rich",5.84,37.79,10.59,54.22,"2","Higher than 5% fine without LL and PL Data"
"CEN-038","CEN","IVU_2014_F1","IVU_2014_F1_86-99","IVU_2014_F1_86-99",0.86,0.99,TRUE,17.75,74.61,NA,NA,7.64,NA,NA,NA,NA,0.136,1.612,2.328,NA,NA,"Coarse-grained","SW-SM/SC or SP-SM/SC",1293.6,704.36,83.66,NA,978.16,2.65,NA,130.78,97.78,1322.5,720.1,NA,"delta_h-sigma_v",60.2419416312752,2.68014366729679,3,25,100,0,FALSE,54.3,0.00914285714285696,0.571428571428587,-0.0498289214233113,1,0.746657842846623,0.749999999999993,"Ice-rich",6.02,46.52,2.71,55.25,"2","Higher than 5% fine without LL and PL Data"
"CEN-039","CEN","IVU_2014_F1","IVU_2014_F1_118-132","IVU_2014_F1_118-132",1.18,1.32,TRUE,18.14,75.18,NA,NA,6.68,NA,NA,NA,NA,0.175,1.482,2.328,NA,NA,"Coarse-grained","SW-SM/SC or SP-SM/SC",1229,630.2,95.02,NA,946.26,2.65,NA,135.12,96.12,1298.8,666,NA,"delta_h-sigma_v",63.2817023894985,2.97908068986757,3,25,100,0,FALSE,61.45,0.0294285714285713,0.999717301168488,-0.144503872127601,1,0.711174410921868,0.959396653709651,"Ice-rich",6.18,50.81,7.26,64.25,"2","Higher than 5% fine without LL and PL Data"
"CEN-040","CEN","IVU_2014_F1","IVU_2014_F1_148-163","IVU_2014_F1_148-163",1.48,1.63,TRUE,25.9,62.65,NA,NA,11.46,NA,NA,NA,NA,0.059,2.197,3.255,NA,NA,"Coarse-grained","SW-SM/SC or SP-SM/SC",1530.76,787.65,94.35,NA,1160.15,2.65,NA,151.34,98.79,1319.5,678.9,NA,"delta_h-sigma_v",64.0570234113712,2.90320197044335,3,25,100,0,FALSE,39.85,0.0271428571428569,0.973780750971087,-0.136199051890383,1,1.51706477044743,0.99920744997028,"Ice-rich",6.14,29.37,6.98,42.49,"2","Higher than 5% fine without LL and PL Data"
