"USCS_symbol_rep_or_calc","test_id","prim_source","test_name","sample_name","borehole","top","bottom","grain_size_curve","mass_fraction_of_gravel_in_soil","mass_fraction_of_sand_in_soil","mass_fraction_of_silt_in_soil","mass_fraction_of_clay_in_soil","mass_fraction_of_fines_in_soil","loss_on_ignition","LL","PL","IP","D10","D50","D60","USCS_symbol_rpt","soil_description","ground_ice_description","soil_group","USCS_symbol_calc","class","sample_mass_init","mass_of_dry_sample","gravimetric_wc_init","gravimetric_wc_fin","sample_volume_init","solid_grain_density_rep","solid_grain_density_rpt_or_asm","initial_degree_of_saturation_rep","frozen_void_ratio_rep","sample_height_ave_or_typ","sample_diameter_ave_or_typ","frozen_bulk_density_rep","frozen_dry_density_calc","final_bulk_density_rep","reported_test_result_type","sigma_v_1","sigma_v_2","sigma_v_3","sigma_v_4","sigma_v_5","sigma_v_6","sigma_v_7","delta_h_1","delta_h_2","delta_h_3","delta_h_4","delta_h_5","delta_h_6","delta_h_7","epsilon_1","epsilon_2","epsilon_3","epsilon_4","epsilon_5","epsilon_6","epsilon_7","e_1","e_2","e_3","e_4","e_5","e_6","e_7","data_quality_flag","note","source_id","data_source","volumetric_wc_calc","frozen_void_ratio_calc","loading_steps_count","sigma_v_min","sigma_v_max","epsilon_1_calc","epsilon_2_calc","epsilon_3_calc","epsilon_4_calc","epsilon_5_calc","epsilon_6_calc","epsilon_7_calc","e_1_calc","e_2_calc","e_3_calc","e_4_calc","e_5_calc","e_6_calc","e_7_calc","phase_change_strain","num_of_swelling_loading_step","swelling_flag","ave_depth","depth_interval_start","depth_interval_end","in_situ_sigma_v","A0","a0","R_sq","Cc","sigma_v_th_init","R_sq_semilog","ice_level","e_th","excess_water_strain","sigma_v_th","soil_compression_strain_at_100_kpa","total_strain_at_100_kpa","epsilon_sigma_v_e_logP_100","epsilon_sigma_v_e_logP_50","epsilon_sigma_v_e_logP_in_situ","group_speer","group_nixon","group_ladanyi","speer_strain","nixon_strain","ladanyi_strain","group_luscher","input_limits","slope_1","intercept_1","slope_2","intercept_2","luscher_strain","slope_1_luscher","slope_2_luscher","intercept_1_luscher","intercept_2_luscher","group_nelson","FDD_min","FDD_max","a1","a2","a3","a4","a5","a6","gs","FDD","porosity","nelson_strain","group_hanna","hanna_strain","slope_1_hanna","slope_2_hanna","intercept_1_hanna","intercept_2_hanna"
"ML","NESCL-254","NESCL","N75-TSF13B-1-C1","N75-TSF13B-1-C1","N75-TSF13B-1",6.19,6.31,FALSE,0,2,88,10,98,NA,"NP","NP","NP",NA,NA,NA,"ML","SILT, little fine sand, light grey","Vr (35%)","Fine-grained",NA,NA,NA,NA,58.4,NA,NA,2.67,2.67,NA,2.202,NA,NA,1319.9,833.27,NA,"e-sigma_v & strain-sigma_v ",10.13,19.06,40.92,77.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,46.5,47.4,48.3,NA,NA,NA,0.737,0.714,0.684,0.657,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",48.6629797979798,2.20424274566255,4,10.13,77.2,45.8,46.5,47.4,48.3,NA,NA,NA,0.737,0.714,0.685,0.657,NA,NA,NA,5.68,0,FALSE,6.25,0,6.25,80.92636875,46.0127590640431,0.0303376790193238,0.979907032324168,-0.0902957955906774,6.07436274883485e-14,0.998203533256192,"Ice-rich",0.828846733976565,37.24,1,5.64,48.56,48.5602286210561,47.7119238853449,48.3012257179414,"YES","YES","YES",45.3448016276478,54.2219707641687,45.1405281018426,"Silt",1353.9,-0.06193,88.15101,0,4.3,6.40960299999999,-0.06193,0,88.15101,4.3,"ML Lowland",400,900,398.5,27.7,-8.6,-8457.6,6897.9,-176.4,2650,833.270202020202,0.687913782014906,51.9305470587213,"Low Plastic Fines",17.0527123737374,0.6111,1.615,-19.8611,-61.538
"CI","NESCL-255","NESCL","N75-TSF13B-1-C3_1","N75-TSF13B-1-C3","N75-TSF13B-1",7.32,7.41,FALSE,0,1,79,20,99,NA,"33","20","13",NA,NA,NA,"CI","CLAY silty, medium grey","Vr (35%) to ice lense","Fine-grained",NA,NA,NA,NA,56.6,NA,NA,2.67,2.67,NA,1.614,NA,NA,1598.6,1020.82,NA,"e-sigma_v & strain-sigma_v ",1.44,10.65,19.82,40.23,74.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,27.9,31.4,33.9,36.3,NA,NA,1.424,0.885,0.793,0.729,0.666,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",57.7782630906769,1.61555110721882,5,1.44,74.31,7.3,27.9,31.4,33.9,36.3,NA,NA,1.425,0.886,0.794,0.729,0.666,NA,NA,5.1,0,FALSE,7.365,6.25,7.365,17.48572659,29.928723423112,0.0879266874863347,0.975976466890935,-0.449366655052713,0.787366794691003,0.945759393331896,"Ice-rich",1.4355024277916,1.78,1,34.36,41.24,41.2449210629166,36.0730533885015,28.2337931568688,"YES","NO","NO",25.8427445358442,31.8634360836487,24.9801282907069,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1020.81736909323,0.617671397343359,13.2942681630337,"High Plastic Soil",32.9641035249042,1.587,NA,-58.73,NA
"ML","NESCL-256","NESCL","N75-TSF13B-1-C3_2","N75-TSF13B-1-C3","N75-TSF13B-1",7.41,7.5,FALSE,0,1,79,20,99,NA,"33","20","13",NA,NA,NA,"ML","SILT, clayey (borderline)","Vs","Fine-grained",NA,NA,NA,NA,88.1,NA,NA,2.67,2.67,NA,2.592,NA,NA,1398.4,743.43,NA,"e-sigma_v & strain-sigma_v ",9.44,18.64,37.47,75.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,48.9,51.4,54.4,NA,NA,NA,1.055,0.836,0.746,0.638,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",65.4965656565657,2.5914402173913,4,9.44,75.23,42.8,48.9,51.4,54.4,NA,NA,NA,1.054,0.835,0.745,0.638,NA,NA,NA,5.96,0,FALSE,7.455,6.25,7.365,15.29590896,47.4230952803261,0.0946453034796838,0.980982969692724,-0.444290569211229,0.00820077180242438,0.952632529278916,"Ice-rich",1.45061341865466,25.81,1,24.74,56.51,56.5067998997123,52.782812306224,46.4193283952094,"YES","YES","YES",39.4635357014321,46.7391029219227,38.5678990352579,"Silt",1353.9,-0.06193,88.15101,0,4.3,4.3,-0.06193,0,88.15101,4.3,"ML Lowland",400,900,398.5,27.7,-8.6,-8457.6,6897.9,-176.4,2650,743.434343434344,0.721560170998373,42.5899110297514,"Low Plastic Fines",44.2389535353535,0.6111,1.615,-19.8611,-61.538
"ML","NESCL-257","NESCL","N75-TSF13B-1-C4","N75-TSF13B-1-C4","N75-TSF13B-1",7.8,7.89,FALSE,0,0,66,34,100,NA,"34","24","10",NA,NA,NA,"ML","SILT, clayey (borderline)","Vs","Fine-grained",NA,NA,NA,NA,33.2,NA,NA,2.67,2.67,NA,0.965,NA,NA,1810.1,1358.93,NA,"e-sigma_v & strain-sigma_v ",9.83,19.32,38.83,77.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,7.6,13.4,15.7,NA,NA,NA,0.93,0.816,0.702,0.656,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",45.1166066066066,0.964775426772002,4,9.83,77.88,1.8,7.6,13.4,15.7,NA,NA,NA,0.929,0.815,0.701,0.656,NA,NA,NA,4.06,1,TRUE,7.845,7.455,7.845,6.92526158999999,6.47653748408427,0.126960137820681,0.822567859070092,-0.310749560532325,12.1966313891516,0.966578261670867,"Ice-poor",0.885115070433029,0,12.1966313891516,14.45,18.51,18.5064868646774,13.7453860495416,0.166785456596373,"YES","YES","YES",13.1937029966963,19.478004679391,13.3726832835405,"Silt",1353.9,-0.06193,88.15101,0,4.3,4.3,-0.06193,0,88.15101,4.3,"ML Lowland",400,900,398.5,27.7,-8.6,-8457.6,6897.9,-176.4,2650,1358.93393393393,0.491035979800025,-6.91013991164672,"Low Plastic Fines",11.3253196696697,0.6111,1.615,-19.8611,-61.538
"CI","NESCL-258","NESCL","N75-TSF13B-1-C10","N75-TSF13B-1-C10","N75-TSF13B-1",10.27,10.36,FALSE,0,0,51,49,100,NA,"42","22","20",NA,NA,NA,"CI","CLAY","ICE to Vr","Fine-grained",NA,NA,NA,NA,27.7,NA,NA,2.67,2.67,NA,0.807,NA,NA,1887,1477.68,NA,"e-sigma_v & strain-sigma_v ",9.84,19.33,38.85,77.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.7,5.1,7.7,NA,NA,NA,0.795,0.777,0.715,0.668,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",40.9317932654659,0.806883942766296,4,9.84,77.92,0.7,1.7,5.1,7.7,NA,NA,NA,0.794,0.776,0.715,0.668,NA,NA,NA,3.69,2,TRUE,10.315,7.845,10.315,45.7233309,0.420172476239745,0.0972776088999321,0.930315630475438,-0.146581711957459,26.6901395523465,0.965523691673198,"Ice-poor",0.74026049795073,0,26.6901395523465,4.65,8.34,8.34087439249796,5.89879767298172,5.58377566503214,"YES","NO","NO",8.95819448186313,15.4833248192057,9.59393260486263,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1477.68206734534,0.446561023466165,0.575593682178528,"High Plastic Soil",6.22875591229444,1.587,NA,-58.73,NA
"CI","NESCL-259","NESCL","N75-TSF13B-1-C14_1","N75-TSF13B-1-C14","N75-TSF13B-1",11.7,11.77,FALSE,0,0,80,20,100,NA,"27","19","8",NA,NA,NA,"CI","CLAY, silty, medium grey","Vx","Fine-grained",NA,NA,NA,NA,24.6,NA,NA,2.67,2.67,NA,0.695,NA,NA,1962.3,1574.88,NA,"e-sigma_v & strain-sigma_v ",9.43,18.63,37.45,75.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4.3,5.9,7.6,NA,NA,NA,0.637,0.622,0.596,0.566,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",38.7420385232745,0.695367680782755,4,9.43,75.18,3.4,4.3,5.9,7.6,NA,NA,NA,0.638,0.622,0.595,0.567,NA,NA,NA,3.39,0,FALSE,11.735,10.315,11.735,27.33523146,3.46352202018801,0.0564485291744323,0.970292869777507,-0.0798392964520021,10.4016720303339,0.987291520460602,"Ice-poor",0.637952000718124,0,10.4016720303339,4.63,8.02,8.01533933337202,6.59771038260278,5.3627195265354,"YES","NO","NO",4.97486347631038,11.7691675105013,6.06890663369727,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1574.87961476726,0.410157447652713,-0.031549455476565,"High Plastic Soil",2.7536151364366,1.587,NA,-58.73,NA
"CI","NESCL-260","NESCL","N75-TSF13B-1-C14_2","N75-TSF13B-1-C14","N75-TSF13B-1",11.77,11.83,FALSE,0,0,80,20,100,NA,"27","19","8",NA,NA,NA,"CI","CLAY, silty, medium grey","Vx","Fine-grained",NA,NA,NA,NA,24.5,NA,NA,2.67,2.67,NA,0.711,NA,NA,1941.4,1559.36,NA,"e-sigma_v & strain-sigma_v ",9.31,18.52,37.2,74.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,4.1,5.7,7.4,NA,NA,NA,0.656,0.642,0.614,0.585,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",38.2042570281124,0.712243741629752,4,9.31,74.75,3.3,4.1,5.7,7.4,NA,NA,NA,0.656,0.642,0.615,0.586,NA,NA,NA,3.44,1,TRUE,11.8,10.315,11.735,27.04409028,3.26501957483053,0.0567558923546288,0.9700672661313,-0.0785977979588267,11.3561633971287,0.979306606692117,"Ice-poor",0.653434625348396,0,11.3561633971287,4.34,7.78,7.77143033416472,6.38960050448033,5.16444982791469,"YES","NO","NO",6.06492691826831,12.7821423762612,7.03132039081333,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1559.35742971888,0.41597100010529,0.189502890974062,"High Plastic Soil",1.90015590361445,1.587,NA,-58.73,NA
"CI","NESCL-261","NESCL","N75-TSF21A-1-C2","N75-TSF21A-1-C2","N75-TSF21A-1",3.93,4.02,FALSE,0,27,40,33,73,NA,"36","17","19",NA,NA,NA,"CI","TILL, CLAY, silty, little fine to coarse sand, trace fine gravel, medium plastic, grey, stratified ice to 0.5"" at approx. 1"" spacing","Vs (35%)","Fine-grained",NA,NA,NA,NA,52.9,NA,NA,2.67,2.67,NA,1.578,NA,NA,1582.6,1035.06,NA,"e-sigma_v & strain-sigma_v ",9.43,18.64,36.83,74.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,34.6,37,39.3,NA,NA,NA,0.738,0.686,0.624,0.566,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",54.7544408109876,1.5795715910527,4,9.43,74.62,32.6,34.6,37,39.3,NA,NA,NA,0.739,0.687,0.625,0.566,NA,NA,NA,5.06,0,FALSE,3.975,0,3.975,61.71309135,33.47755802978,0.0804621870294411,0.955832025575239,-0.194273987026807,0.00213485617364781,0.998962976603502,"Ice-rich",0.930314042931979,20.11,1,15.06,40.23,40.2317007123968,37.9645685391649,38.6529797535022,"YES","NO","NO",26.8667692651571,32.9096135588486,25.9509949279414,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1035.05559189012,0.612338729629167,12.9659665775286,"High Plastic Soil",28.1652975670373,1.587,NA,-58.73,NA
"ICE+CI","NESCL-262","NESCL","N75-TSF22-1-C1","N75-TSF22-1-C1","N75-TSF22-1",3.14,3.23,FALSE,0,14,51,35,86,NA,"35","17","18",NA,NA,NA,"ICE+CI","ICE, CLAY, (approx. 75%) with sility, medium plastic, grey","ICE + ","Fine-grained",NA,NA,NA,NA,42.9,NA,NA,2.67,2.67,NA,1.283,NA,NA,1670.7,1169.14,NA,"e-sigma_v & strain-sigma_v ",9.11,18.33,37.01,74.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,22.3,25.6,28.6,NA,NA,NA,0.85,0.773,0.698,0.63,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",50.1560741777467,1.2837313700844,4,9.11,74.57,19,22.3,25.6,28.6,NA,NA,NA,0.85,0.774,0.699,0.631,NA,NA,NA,4.64,0,FALSE,3.185,0,3.185,52.200770895,20.8497044915145,0.107388857866651,0.952830081691757,-0.240448620976384,0.388292470607525,0.999326700161489,"Ice-rich",1.078949042618,4.32,1,21.06,30.02,30.0245282085794,26.8550552890365,27.0520159005221,"YES","NO","NO",21.3518931113336,27.3655145466972,20.7870145531295,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1169.13925822253,0.562120128006542,7.52755230468858,"High Plastic Soil",20.867689720084,1.587,NA,-58.73,NA
"ICE+CI","NESCL-263","NESCL","N75-TSF22-1-C2","N75-TSF22-1-C2","N75-TSF22-1",3.87,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICE+CI","ICE, CLAY, (approx. 75%) with sility, medium plastic, grey","ICE +","Fine-grained",NA,NA,NA,NA,29.4,NA,NA,2.67,2.67,NA,0.902,NA,NA,1816.5,1403.79,NA,"e-sigma_v & strain-sigma_v ",9.01,17.69,35.55,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,11.3,13.7,16.3,NA,NA,NA,0.722,0.687,0.642,0.592,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",41.2713292117465,0.901998348472337,4,9.01,71.3,9.5,11.3,13.7,16.3,NA,NA,NA,0.721,0.687,0.641,0.592,NA,NA,NA,3.92,0,FALSE,3.9,3.185,3.9,12.741203475,10.0168427757249,0.0903281810890099,0.972289459683686,-0.144499023210961,1.75388021379632,0.99476119067117,"Ice-poor",0.827521420616823,0,1.75388021379632,13.34,17.26,17.2564410050124,14.9694495170554,10.4585268081441,"YES","NO","NO",12.8344019012656,19.1369563171324,13.0506254370478,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1403.78670788253,0.474237188058976,1.82629947118502,"High Plastic Soil",6.76759945904173,1.587,NA,-58.73,NA
"CI","NESCL-264","NESCL","N75-TSF22-1-C3","N75-TSF22-1-C3","N75-TSF22-1",4.57,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CI","CLAY, silty, with ICE","Vs (60%)","Fine-grained",NA,NA,NA,NA,67.5,NA,NA,2.67,2.67,NA,2.638,NA,NA,1228.6,733.49,NA,"e-sigma_v & strain-sigma_v ",9.43,18.63,37.45,75.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1,52.6,54.5,56.5,NA,NA,NA,0.817,0.723,0.654,0.584,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",49.5107462686567,2.64011883444571,4,9.43,75.21,50.1,52.6,54.5,56.5,NA,NA,NA,0.816,0.725,0.656,0.583,NA,NA,NA,5.99,0,FALSE,4.6,3.9,4.6,8.43679619999999,51.6170700682054,0.0666371375990841,0.969304621149874,-0.255171512720416,4.5197764886219e-06,0.995356675738869,"Ice-rich",1.05826548008128,37.47,1,14.02,57.48,57.4760461116607,55.3658326032191,49.9485749140451,"YES","NO","NO",52.6418934676852,65.6650197452309,54.5182841690301,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,733.492537313433,0.7252836938901,32.4514638702875,"High Plastic Soil",19.8435543283582,1.587,NA,-58.73,NA
"CI","NESCL-265","NESCL","N75-TSF22-1-C4","N75-TSF22-1-C4","N75-TSF22-1",5.03,5.09,FALSE,0,18,61,21,82,NA,"33","16","17",NA,NA,NA,"CI","CLAY, silty, some fine to coarse sand, some fine to coarse gravel, till-like","Vx (10%)","Fine-grained",NA,NA,NA,NA,20.5,NA,NA,2.67,2.67,NA,0.77,NA,NA,1816.5,1507.47,NA,"e-sigma_v & strain-sigma_v ",9.03,17.97,36.1,72.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,5,8.6,12.8,NA,NA,NA,0.731,0.681,0.617,0.544,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",30.903112033195,0.771180842279108,4,9.03,72.54,2.2,5,8.6,12.8,NA,NA,NA,0.732,0.683,0.619,0.544,NA,NA,NA,3.6,1,TRUE,5.06,4.6,5.06,8.19713790000002,2.93580656316166,0.1389509541941,0.978555712650275,-0.208169904975527,12.7179464410928,0.992040683547596,"Ice-poor",0.70750535988909,0,12.7179464410928,10.53,14.13,14.121026275382,10.5829693985066,1.35311333221889,"YES","NO","NO",12.8344019012656,19.1369563171324,13.0506254370478,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1507.46887966805,0.435404913982004,2.5835338227783,"High Plastic Soil",-9.6867612033195,1.587,NA,-58.73,NA
"CL","NESCL-266","NESCL","N76-10-1-C7","N76-10-1-C7","N76-10-1",6.68,6.74,FALSE,4,31,39,26,65,NA,"28","14","14",NA,NA,NA,"CL",NA,NA,"Fine-grained",NA,NA,NA,NA,16.3,NA,NA,2.67,2.67,NA,0.635,NA,NA,1898.2,1632.16,NA,"e-sigma_v & strain-sigma_v ",9.35,18.37,37.01,74.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,0.5,3.5,6.3,NA,NA,NA,0.639,0.628,0.578,0.533,NA,NA,NA,"1","Potentially swelling","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",26.6041788478074,0.635870824992098,4,9.35,74.27,-0.2,0.5,3.5,6.3,NA,NA,NA,0.639,0.628,0.579,0.533,NA,NA,NA,3.21,2,TRUE,6.71,0,6.71,124.94920482,-0.874207578078544,0.0996731410276562,0.956585722808766,-0.122389474994124,32.4723502957254,0.948808719829928,"Ice-poor",0.583367729350548,0,32.4723502957254,3.65,6.86,6.86415289486699,4.61196387334225,7.58787518904523,"YES","NO","NO",8.35576220488886,14.9192543457379,9.05926652974703,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lean Clay",900,1600,287.5,-178.9,-14.9,-245.9,538.9,21.6,2700,1632.15821152193,0.388704789692163,7.02781869940221,"Low Plastic Fines",-3.6032863061049,0.6111,1.615,-19.8611,-61.538
"CL","NESCL-267","NESCL","N76-10-1-C9_1","N76-10-1-C9","N76-10-1",8.53,8.63,FALSE,17,28,35,20,55,NA,"26","13","13",NA,NA,NA,"CL",NA,NA,"Fine-grained",NA,NA,NA,NA,14.1,NA,NA,2.67,2.67,NA,0.459,NA,NA,2087.2,1829.27,NA,"e-sigma_v & strain-sigma_v ",9.39,18.65,37.53,75.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0.5,1.8,3.8,NA,NA,NA,0.459,0.452,0.432,0.404,NA,NA,NA,"1","Potentially swelling","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",25.7927432077125,0.459596588731315,4,9.39,75.34,-0.1,0.5,1.8,3.8,NA,NA,NA,0.461,0.452,0.433,0.404,NA,NA,NA,2.6,3,TRUE,8.58,6.71,8.58,38.28905784,-0.578718180358827,0.0590083934528089,0.995796341727621,-0.0630309209634763,47.334615321045,0.94902322942288,"Ice-poor",0.421648246542491,0,47.334615321045,1.4,4,4.00262091210616,2.70265912740342,2.20217912600339,"YES","NO","NO",-1.30682770275084,5.96970946140911,0.545752031055315,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lean Clay",900,1600,287.5,-178.9,-14.9,-245.9,538.9,21.6,2700,1829.27256792287,0.314879188043867,4.82547093908883,"Low Plastic Fines",-4.09915462576688,0.6111,1.615,-19.8611,-61.538
"CL","NESCL-268","NESCL","N76-10-1-C9_2","N76-10-1-C9","N76-10-1",8.63,8.69,FALSE,17,28,35,20,55,NA,"26","13","13",NA,NA,NA,"CL",NA,NA,"Fine-grained",NA,NA,NA,NA,12,NA,NA,2.67,2.67,NA,0.433,NA,NA,2085.6,1862.14,NA,"e-sigma_v & strain-sigma_v ",9.3,18.49,37.19,74.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,2.4,4.4,NA,NA,NA,0.425,0.419,0.399,0.371,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",22.3457142857143,0.433831990794016,4,9.3,74.65,0.6,1,2.4,4.4,NA,NA,NA,0.425,0.419,0.399,0.371,NA,NA,NA,2.5,3,TRUE,8.66,6.71,8.58,38.25970632,0.0338418389042685,0.0591895197621065,0.994725410002016,-0.0603754725617606,32.4065913554514,0.932629026042476,"Ice-poor",0.398011000728455,0,32.4065913554514,2.06,4.56,4.55888368158809,3.29131339719146,2.80190160101907,"YES","NO","NO",-1.22876021426237,6.04146890279702,0.614219207262181,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lean Clay",900,1600,287.5,-178.9,-14.9,-245.9,538.9,21.6,2700,1862.14285714286,0.302568218298556,6.47059185648757,"Low Plastic Fines",-6.20563400000001,0.6111,1.615,-19.8611,-61.538
"CH","NESCL-269","NESCL","ZAMA-4-1-10","ZAMA-4-1-10","ZAMA-4-1",2.71,2.77,FALSE,0,3,29,68,97,NA,"65","25","40",NA,NA,NA,"CH","CLAY, silty, high plastic, granular  ice crystals, gransular ice, to dark grey carbon colour, platy","Vr Vs","Fine-grained",NA,NA,NA,NA,42.8,NA,NA,2.6,2.6,NA,1.175,NA,NA,1706,1194.68,NA,"e-sigma_v & strain-sigma_v ",5.07,19.2,38.11,75.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,13.6,15.7,19.5,NA,NA,NA,0.943,0.879,0.833,0.75,NA,NA,NA,"2","","NESCL_1977c","Canadian Arctic Gas Study Limited. and Northern Engineering Services Company.: Thaw-Settlement Test Data, Fort Simpson to Zama Lake, Northern Engineering Services, Calgary, 1977.",51.1322128851541,1.17631887456038,4,5.07,75.89,10.7,13.6,15.7,19.5,NA,NA,NA,0.943,0.88,0.835,0.752,NA,NA,NA,4.46,0,FALSE,2.74,0,2.74,45.8562564,11.6678612958168,0.103576697541663,0.999374223731011,-0.155811838592346,0.80812186354011,0.946261044042943,"Ice-rich",1.0647754269603,0.66,1,14.32,19.44,19.4441692222262,17.2889686381516,17.0199791017838,"YES","NO","NO",19.2233824847262,25.2772262646292,18.8308984495029,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fat Clay",1000,1400,342.8,-259.9,-12.3,-586.6,432.7,44.6,2700,1194.67787114846,0.540508511096746,5.02649514456949,"High Plastic Soil",22.4168218487395,1.587,NA,-58.73,NA
